Webpage,Run,FID,Type,RangeMin,RangeMax,XPath1,Xpath2,ClassNarrower,ClassMin,ClassMid,ClassMax,ClassWider
2-my-portfolio-index-html,1,1,Element-Protrusion,598,620,/HTML/BODY/DIV/DIV/DIV[3]/DIV/DIV/DIV/DIV[3]/DIV/A/DIV/H5,/HTML/BODY/DIV/DIV/DIV[3],FP,TP,TP,TP,FP
2-my-portfolio-index-html,1,2,Element-Collision,583,594,/HTML/BODY/DIV/DIV/DIV[3]/DIV/DIV/DIV/DIV/DIV/A/DIV,/HTML/BODY/DIV/DIV/DIV[3]/DIV/DIV/DIV/DIV/DIV/A/DIV/H5,TP,TP,TP,TP,FP
2-my-portfolio-index-html,1,3,Element-Protrusion,553,567,/HTML/BODY/DIV/DIV/DIV[3]/DIV/DIV/DIV/DIV/DIV/A/DIV/P[2],/HTML/BODY/DIV/DIV/DIV[3]/DIV/DIV/DIV/DIV/DIV/A/DIV,FP,TP,TP,TP,FP
2-my-portfolio-index-html,1,4,Element-Protrusion,550,580,/HTML/BODY/DIV/DIV/DIV[4]/DIV/DIV[3],/HTML/BODY/DIV/DIV/DIV[4],TP,TP,TP,TP,FP
2-my-portfolio-index-html,1,5,Element-Protrusion,550,582,/HTML/BODY/DIV/DIV/DIV[3]/DIV/DIV/DIV/DIV/DIV/A/DIV/H5,/HTML/BODY/DIV/DIV/DIV[3],TP,TP,TP,TP,FP
