"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"d:\Codes\Mr.ReDeFix\HTML\test.html", "HTML", 0, -4473, -48, -1157, -5678
"d:\Codes\Mr.ReDeFix\app.js", "JavaScript", -8, 0, 0, -2, -10
"Total", "-", -8, -4473, -48, -1159, -5688
